station_name,address
本庄早稲田,
上毛高原,
ガーラ湯沢,
安中榛名,
軽井沢,
上田,
上越妙高,
白石蔵王,
くりこま高原,
水沢江刺,
いわて沼宮内,岩手郡岩手町大字江刈内
二戸,二戸市石切所
七戸十和田,
羽沢横浜国大,
来宮,
伊豆多賀,
網代,
宇佐美,
伊東,伊東市湯川３丁目
八戸,八戸市尻内町
新庄,新庄市多門町
泉田,新庄市大字泉田
羽前豊里,最上郡鮭川村大字石名坂
真室川,最上郡真室川町大字新町
釜淵,最上郡真室川町大字釜淵
大滝,最上郡真室川町大字大滝
及位,最上郡真室川町大字及位
院内,湯沢市上院内
横堀,湯沢市小野
三関,湯沢市上関
上湯沢,湯沢市関口
湯沢,湯沢市表町
下湯沢,湯沢市成沢
十文字,横手市十文字町字大道東
醍醐,横手市平鹿町醍醐
柳田,横手市柳田
横手,横手市駅前町
後三年,仙北郡美郷町飯詰
飯詰,仙北郡美郷町上深井
大曲,大仙市大曲通町
神宮寺,大仙市神宮寺
刈和野,大仙市刈和野
峰吉川,大仙市協和峰吉川
羽後境,大仙市協和境
大張野,秋田市河辺神内
和田,秋田市河辺和田
四ツ小屋,秋田市四ツ小屋
秋田,秋田市中通７丁目
泉外旭川,秋田市泉菅野二丁目18番
土崎,秋田市土崎港中央６丁目
上飯島,秋田市飯島
追分,秋田市金足追分
大久保(秋田),潟上市昭和大久保
羽後飯塚,潟上市飯田川飯塚
井川さくら,南秋田郡井川町浜井川
八郎潟,南秋田郡八郎潟町字中田
鯉川,山本郡三種町鯉川
鹿渡,山本郡三種町鹿渡
森岳,山本郡三種町森岳
北金岡,山本郡三種町志戸橋
東能代,能代市鰄渕
鶴形,能代市字鶴形
富根,能代市二ツ井町飛根
二ツ井,能代市二ツ井町太田面
前山,北秋田市前山
鷹ノ巣,北秋田市松葉町
糠沢,北秋田市綴子
早口,大館市早口
下川沿,大館市川口
大館,大館市御成町１丁目
白沢,大館市白沢
陣場,大館市大字長走
津軽湯の沢,平川市碇ケ関
碇ケ関,青森県平川市碇ヶ関高田13
長峰,南津軽郡大鰐町大字長峰
大鰐温泉,南津軽郡大鰐町大字大鰐字前田
石川,青森県弘前市大字石川字野崎25-2
弘前,弘前市表町
撫牛子,弘前市大字撫牛子
川部,南津軽郡田舎館村大字川部
北常盤,南津軽郡藤崎町常盤
浪岡,青森市浪岡浪岡
大釈迦,青森市浪岡大釈迦
鶴ケ坂,青森県青森市大字鶴ケ坂字川合91-3
津軽新城,青森市大字新城
新青森,青森県青森市大字石江字高間140-2
青森,青森市柳川１丁目
野辺地,上北郡野辺地町大字野辺地
北野辺地,上北郡野辺地町大字野辺地
有戸,上北郡野辺地町大字有戸
吹越,上北郡横浜町字吹越
陸奥横浜,上北郡横浜町字舘の後
有畑,上北郡横浜町字有畑
近川,むつ市大字奥内
金谷沢,むつ市大字奥内
赤川,むつ市赤川町
下北,むつ市下北町
大湊,むつ市大湊新町
能代,秋田県能代市元町14-40
向能代,能代市落合
北能代,能代市竹生
鳥形,能代市坂形
沢目,山本郡八峰町峰浜水沢
東八森,山本郡八峰町八森八森
八森,山本郡八峰町八森中浜
滝ノ間,山本郡八峰町八森滝ノ間
あきた白神,山本郡八峰町八森御所の台
岩館,山本郡八峰町八森釜の上
大間越,西津軽郡深浦町大間越
白神岳登山口,西津軽郡深浦町黒崎
松神,西津軽郡深浦町松神
十二湖,西津軽郡深浦町松神
